Aafrika	アフリカ
Manuel Castells	マニュエル・カステル
Pete Wentz	ピート・ウェンツ
George Balanchine	ジョージ・バランシン
Norman Schwarzkopf	ノーマン・シュワルツコフ
Tobin Bell	トビン・ベル
Sidi Ould Cheikh Abdallahi	シディ・モハメド・ウルド・シェイク・アブダライ
Fernando Meira	フェルナンド・メイラ
Michael Cunningham	マイケル・カニンガム
Harold Shipman	ハロルド・シップマン
Frankie Fredericks	フランク・フレデリクス
Elton Brand	エルトン・ブランド
Jim Cummings	ジム・カミングス
Dick Van Dyke	ディック・ヴァン・ダイク
Carl Perkins	カール・パーキンス
Antonio Negri	アントニオ・ネグリ
Dudley Moore	ダドリー・ムーア
John Irving	ジョン・アーヴィング
Jonas Björkman	ヨナス・ビョルクマン
Alan Alda	アラン・アルダ
Kristján Eldjárn	クリスチャン・エルジャン
Gerald Durrell	ジェラルド・ダレル
Josh McEachran	ジョシュ・マクイクラン
Valvik	シラガゴケ類
Robert Korzeniowski	ロベルト・コジェニョフスキ
Irving Saladino	イルビング・サラディノ
Karl VIII	カール8世 (スウェーデン王)
Louis III Pime	ルイ3世 (プロヴァンス王)
Alexandre Cabanel	アレクサンドル・カバネル
Karlmann (majordoomus)	カールマン (アウストラシア宮宰)
Steve Davis	スティーブ・デイビス
Toni Sailer	トニー・ザイラー
N,N-dimetüülaniliin	ジメチルアニリン
Fats Waller	ファッツ・ウォーラー
Osram GmbH	オスラム
Prints John (1905–1919)	ジョン (イギリス王子)
Nullum crimen, nulla poena sine lege	法の不遡及
Armand Assante	アーマンド・アサンテ
Franz Xaver Süßmayr	フランツ・クサーヴァー・ジュースマイヤー
Paranthropus robustus	パラントロプス・ロブストス
Francesco I Sforza	フランチェスコ・スフォルツァ
Juan Carlos Navarro	フアン・カルロス・ナバーロ
Valeri Karpin	ヴァレリー・カルピン
Georges Dumézil	ジョルジュ・デュメジル
Shinji Okazaki	岡崎慎司
Glenn Beck	グレン・ベック
Brendan Rodgers	ブレンダン・ロジャーズ
Salmanassar V	シャルマネセル5世
Gerbera	ガーベラ
Alateadvusreklaam	サブリミナル効果
Süsiniku jalajälg	カーボンフットプリント
Dominic Adiyiah	ドミニク・アディアー
Oberscharführer	親衛隊曹長
Gordon Allport	ゴードン・オールポート
Geezer Butler	ギーザー・バトラー
Untersturmführer	親衛隊少尉
Jean-Claude Duvalier	ジャン＝クロード・デュヴァリエ
Miguel I	ミゲル1世 (ポルトガル王)
Esimese maailmasõja põhjused	第一次世界大戦の原因
Luciano Spalletti	ルチアーノ・スパレッティ
James S. Sherman	ジェームズ・S・シャーマン
David Dacko	ダヴィド・ダッコ
Leonid Andrejev	レオニド・アンドレーエフ
Marcello Caetano	マルセロ・カエターノ
Kim Yŏng-il	金英逸
André Kolingba	アンドレ・コリンバ
Bobby McFerrin	ボビー・マクファーリン
Mikro-RNA	MiRNA
Neil deGrasse Tyson	ニール・ドグラース・タイソン
Thích Nhất Hạnh	ティク・ナット・ハン
Iamblichos	カルキスのイアンブリコス
Edgar Cayce	エドガー・ケイシー
Jack Davenport	ジャック・ダヴェンポート
Peter Dinklage	ピーター・ディンクレイジ
William Walton	ウィリアム・ウォルトン
Nika Gilauri	ニコロス・ギラウリ
Mark Philippoussis	マーク・フィリプーシス
Thomas Friedman	トーマス・フリードマン
Bill O'Reilly	ビル・オライリー
Clifford Geertz	クリフォード・ギアツ
SeaQuest DSV	シークエスト
Lorenzo Lotto	ロレンツォ・ロット
Ncurses	Ncurses
Siimeon (sambapühak)	登塔者シメオン
Dick Fosbury	ディック・フォスベリー
Craig Venter	クレイグ・ヴェンター
Alain Badiou	アラン・バディウ
Harald II (Taani)	ハーラル2世 (デンマーク王)
Semmy Schilt	セミー・シュルト
Boriss Berezovski	ボリス・ベレゾフスキー
Nikolai Gumiljov	ニコライ・グミリョフ
Väinö Linna	ヴァイノ・リンナ
Dimebag Darrell	ダイムバッグ・ダレル
Alexander Dale Oen	アレクサンドル・ダーレ・オーエン
Wallace Shawn	ウォーレス・ショーン
Shane Dawson	シェーン・ドーソン
Juan Carlos Valerón	フアン・カルロス・バレロン
Omar Bravo	オマール・ブラボ
Cary Elwes	ケイリー・エルウィス
Jorge Andrade	ジョルジュ・アンドラーデ
Jeff Bennett (näitleja)	ジェフ・ベネット
John Blow	ジョン・ブロウ
Artur da Silva Bernardes	アルトゥール・ベルナルデス
Lüneburgi nõmm	リューネブルガーハイデ
Ahmed Abdallah Mohamed Sambi	アフメド・アブドラ・モハメド・サンビ
Desmond Morris	デズモンド・モリス
Karl Rove	カール・ローヴ
Robert Kiyosaki	ロバート・キヨサキ
Akishino	秋篠宮文仁親王
Miyavi	MIYAVI
Sulgjas kalanhoe	セイロンベンケイ
Nurhaci	ヌルハチ
Jerry West	ジェリー・ウェスト
Al-Fāshir	エル＝ファーシル
Geórgios Papandréou	ゲオルギオス・パパンドレウ
Indrikoteerium	パラケラテリウム
Washington Luís Pereira de Sousa	ワシントン・ルイス
Joaquín Almunia	ホアキン・アルムニア
EuroLOT	ユーロLOT
Dipendra	ディペンドラ・ビール・ビクラム・シャハ
Walther PP	ワルサーPP
Töötuskindlustus	失業給付
Pavlik Morozov	パヴリク・モロゾフ
Titus Labienus	ティトゥス・ラビエヌス
John R. Bolton	ジョン・ボルトン
Pierre Paul Broca	ピエール・ポール・ブローカ
Sidney Crosby	シドニー・クロスビー
Kim Collins	キム・コリンズ
Colin Jackson	コリン・ジャクソン
Sergei Paradžanov	セルゲイ・パラジャーノフ
Sam Elliott	サム・エリオット
Frank Oz	フランク・オズ
Peter Odemwingie	ピーター・オデムウィンギー
Hannes Kolehmainen	ハンネス・コーレマイネン
Vladimír Šmicer	ヴラディミール・シュミツェル
Vassili Berezutski	ヴァシリ・ベレズツキー
Enrique Bolaños	エンリケ・ボラーニョス
Stefan Holm	ステファン・ホルム
Saïd Aouita	サイド・アウィータ
Ato Boldon	アト・ボルドン
Aleksandr Ovetškin	アレクサンドル・オベチキン
Aleksandr Dargomõžski	アレクサンドル・ダルゴムイシスキー
Alberto Ginastera	アルベルト・ヒナステラ
Kibe paprika	キダチトウガラシ
Julio Sanguinetti	フリオ・マリア・サンギネッティ
Austria Mariana	マリアナ・デ・アウストリア
Simon Wiesenthali keskus	サイモン・ウィーゼンタール・センター
Ivan Mitšurin	イヴァン・ミチューリン
Américo	アメリコ
Elton Mayo	エルトン・メイヨー
Mike Bibby	マイク・ビビー
Francesco Geminiani	フランチェスコ・ジェミニアーニ
Jacob Obrecht	ヤーコプ・オブレヒト
John Davis	ジョン・デイヴィス (探検家)
Francesco Landini	フランチェスコ・ランディーニ
Giorgio Agamben	ジョルジョ・アガンベン
Scott Bakula	スコット・バクラ
Allen Johnson	アレン・ジョンソン
Joakim Noah	ジョアキム・ノア
Dennis Lehane	デニス・ルヘイン
Lawrence Kohlberg	ローレンス・コールバーグ
Charles Taylor (filosoof)	チャールズ・テイラー
Lunn (perekond)	ツノメドリ属
Donald Davidson	ドナルド・デイヴィッドソン
Paul Grice	ポール・グライス
Nikolai Rubinstein	ニコライ・ルビンシテイン
Fu'ād II	フアード2世 (エジプト王)
Giovanni Alfonso Borelli	ジョヴァンニ・ボレリ
Muḩammad ‘Abduh	ムハンマド・アブドゥフ
Yāsir al-Ḩabīb	ヤセル・アル・ハビブ
Film Independent's Spirit Awards	インディペンデント・スピリット賞
Fu'ād I	フアード1世 (エジプト王)
Pierre Loti	ピエール・ロティ
Shawn Marion	ショーン・マリオン
Philippe Coutinho	フィリペ・コウチーニョ
William Petersen	ウィリアム・ピーターセン
Archuleta maakond	アーシュレタ郡 (コロラド州)
Costilla maakond	コスティラ郡 (コロラド州)
Alamosa maakond	アラモサ郡 (コロラド州)
Ivica Kostelić	イヴィツァ・コステリッチ
Arapahoe maakond	アラパホ郡 (コロラド州)
Cheyenne'i maakond (Colorado)	シャイアン郡 (コロラド州)
Marcus Berg	マルクス・ベリ
Orlando Gibbons	オーランド・ギボンズ
‘Uday Şaddām Ḩusayn at-Tikritī	ウダイ・サッダーム・フセイン
Sedgwicki maakond (Colorado)	セジウィック郡 (コロラド州)
Narõn	ナルイン
Mike Epps	マイク・エップス
Chris Diamantopoulos	クリス・ディアマントポロス
Andy van der Meyde	アンディ・ファン・デル・メイデ
Rob Paulsen	ロブ・ポールセン
Joel McHale	ジョエル・マクヘイル
Šlahta	シュラフタ
Ferruccio Lamborghini	フェルッチオ・ランボルギーニ
Konstantínos Mitsotákis	コンスタンディノス・ミツォタキス
Aléxis Tsípras	アレクシス・ツィプラス
As-moll	変イ短調
Eliel Saarinen	エリエル・サーリネン
Emilio Colombo	エミリオ・コロンボ
Vince Clarke	ヴィンス・クラーク
Fjodor Apraksin	フョードル・アプラクシン
Tom Starke	トム・シュターケ
Delta maakond (Colorado)	デルタ郡 (コロラド州)
Custeri maakond (Colorado)	カスター郡 (コロラド州)
Raheem Sterling	ラヒーム・スターリング
Benti maakond	ベント郡
Buea	ブエア
Ilmalik humanism	世俗的ヒューマニズム
Lipoehape	Α-リポ酸
Kedristõlvik	冬虫夏草属
Mehmet Ali Talat	メフメト・アリ・タラート
Andy Griffith	アンディ・グリフィス
Crowley maakond	クロウリー郡 (コロラド州)
Delfiin	マイルカ属
Randy Rhoads	ランディ・ローズ
Tony Judt	トニー・ジャット
Alain Corneau	アラン・コルノー
George Ellery Hale	ジョージ・ヘール
Sven Nykvist	スヴェン・ニクヴィスト
Tom Araya	トム・アラヤ
Kammhai	カグラザメ
Christopher Judge	クリストファー・ジャッジ
Al-‘Azīzīyah	アジージーヤ
Dave Lombardo	デイヴ・ロンバード
Marian Lupu	マリアン・ルプ
Bakir Izetbegović	バキル・イゼトベゴヴィッチ
Hallhai	メジロザメ属
Adelard	バースのアデラード
Aleksandar Luković	アレクサンダル・ルコヴィッチ
Aasia puidusikk	ツヤハダゴマダラカミキリ
Henry Stuart	ヘンリー・ステュアート (ダーンリー卿)
Francisco de Vitoria	フランシスコ・デ・ビトリア
Matt Smith	マット・スミス
Joey Ramone	ジョーイ・ラモーン
Andres Oper	アンドレス・オペル
Iván Kaviedes	イバン・カビエデス
Rage	レイジ (バンド)
Schlei	シュライ湾
Gustavo Santaolalla	グスターボ・サンタオラヤ
Medal "Talvelahing Idas"	1941年/1942年東部戦線冬季戦記章
Hiina aedaster	エゾギク
Dolorese maakond	ドロレス郡 (コロラド州)
Duncan James	ダンカン・ジェイムス
Phillipsi maakond (Colorado)	フィリップス郡 (コロラド州)
Summiti maakond (Colorado)	サミット郡 (コロラド州)
Conejose maakond	コネホス郡 (コロラド州)
Helivältus	音価
Ladestik	世
Aleksandr Jakovlev	アレクサンドル・ヤコブレフ
Logani maakond (Colorado)	ローガン郡 (コロラド州)
Minerali maakond (Colorado)	ミネラル郡 (コロラド州)
Andrian Nikolajev	アンドリアン・ニコラエフ
Pitkini maakond	ピトキン郡 (コロラド州)
Leonid Gaidai	レオニード・ガイダイ
Vjatšeslav Tihhonov	ヴャチェスラフ・チーホノフ
Terroriorganisatsioonide loend	テロ組織と認定された組織の一覧
Washingtoni maakond (Colorado)	ワシントン郡 (コロラド州)
Zurab Žvania	ズラブ・ジワニア
Andrei Gretško	アンドレイ・グレチコ
Montezuma maakond	モンテズマ郡 (コロラド州)
Carl Michael Bellman	カール・ミカエル・ベルマン
Nikolai Mikluhho-Maklai	ニコラス・ミクルーホ＝マクライ
John Lubbock	ジョン・ラボック
Otero maakond (Colorado)	オテロ郡 (コロラド州)
Saksa Töörinne	ドイツ労働戦線
Konstantínos Mítroglou	コンスタンティノス・ミトログル
DCF77	DCF77
James Macpherson	ジェイムズ・マクファーソン (詩人)
Saguache'i maakond	サワチ郡 (コロラド州)
Johan Gadolin	ヨハン・ガドリン
Iain Banks	イアン・バンクス
Charles Edward Stuart	チャールズ・エドワード・ステュアート
Lincolni maakond (Colorado)	リンカーン郡 (コロラド州)
Fujitsu Siemens Computers	フジツー・シーメンス・コンピューターズ
Salvatore Adamo	サルヴァトール・アダモ
Lorenzo II de' Medici	ロレンツォ2世・デ・メディチ
Rosso Fiorentino	ロッソ・フィオレンティーノ
Théodore de Banville	テオドール・ド・バンヴィル
Jack Vance	ジャック・ヴァンス
Franco Alfano	フランコ・アルファーノ
Hansruedi Giger	H・R・ギーガー
Marián Hossa	マリアン・ホッサ
Eric Holder	エリック・ハンプトン・ホルダー
David Haye	デビッド・ヘイ
Bernard Lagat	バーナード・ラガト
Lon Chaney	ロン・チェイニー
Chuck Jones	チャック・ジョーンズ
Pierre van Hooijdonk	ピエール・ファン・ホーイドンク
Carlos Mesa	カルロス・メサ・ヒスベルト
Carlo Emanuele III	カルロ・エマヌエーレ3世
Giorgio Moroder	ジョルジオ・モロダー
Marcel Lefebvre	マルセル・ルフェーブル
Philip Miller	フィリップ・ミラー (園芸家)
László József Bíró	ビーロー・ラースロー
John Holmes	ジョン・ホームズ
Bud Powell	バド・パウエル
Mick Taylor	ミック・テイラー
Kobayashi Issa	小林一茶
Punane Pilv	レッド・クラウド
Al-Maḩallah al-Kubrá	エル＝マハッラ・エル＝コブラ
Robert Zoellick	ロバート・ゼーリック
Pueblo maakond	プエブロ郡 (コロラド州)
Routti maakond	ラウト郡 (コロラド州)
Rio Grande maakond	リオグランデ郡 (コロラド州)
Montrose'i maakond	モントローズ郡 (コロラド州)
Parki maakond (Colorado)	パーク郡 (コロラド州)
Yuma maakond (Colorado)	ユマ郡 (コロラド州)
Telleri maakond	テラー郡 (コロラド州)
Morgani maakond (Colorado)	モーガン郡 (コロラド州)
San Migueli maakond (Colorado)	サンミゲル郡 (コロラド州)
Eduardo Rodríguez	エドゥアルド・ロドリゲス・ベルツェ
Knud Rasmussen	クヌート・ラスムッセン
Fred	フレデリコ・シャヴェス・ゲデス
Sámuel Aba	アバ・シャームエル
Francis Obikwelu	フランシス・オビクウェル
Aed-roolind	シベリアヨシキリ
Nikolai Kondratjev	ニコライ・コンドラチエフ
Davy Jones	デイビー・ジョーンズ
Pseudo-Dionysios Areopagita	偽ディオニュシオス・ホ・アレオパギテース
Vladimir Aleksandrovitš	ウラジーミル・アレクサンドロヴィチ
Samuel Butler	サミュエル・バトラー
Eduardo Souto de Moura	エドゥアルド・ソウト・デ・モウラ
Daniel Inouye	ダニエル・イノウエ
Carl Van Vechten	カール・ヴァン・ヴェクテン
Neal Stephenson	ニール・スティーヴンスン
Alvin Kraenzlein	アルビン・クレンツレーン
John Carradine	ジョン・キャラダイン
John Rackham	ジョン・ラカム
Marek Heinz	マレク・ハインツ
Georgi Markov	ゲオルギー・マルコフ
Béla Tarr	タル・ベーラ
Juri Sedõhh	ユーリ・セディフ
Oleg Antonov	オリェーク・アントーノフ
Kenwyne Jones	ケンワイン・ジョーンズ
Bruce Sterling	ブルース・スターリング
David Lodge	デイヴィッド・ロッジ
Ludwig Scotty	ルドウィグ・スコッティ
Heliodoros	エメサのヘリオドロス
Håkon VI	ホーコン6世
David McCallum	デヴィッド・マッカラム
